Card Name,Set,Set Code,Card Number,Type,Rarity,Year,Language,Variant,Artist,Japanese Expansion,Japanese Card Number,Notes
Scyther,Jungle,JU,10/64,Grass,Rare Holo,1999,English,Holofoil,Ken Sugimori,Pokémon Jungle,10/64,First English print of Scyther. Has unlimited and limited editions.
Scyther,Jungle,JU,26/64,Grass,Common,1999,English,Non-Holofoil,Ken Sugimori,Pokémon Jungle,,Non-holo version from Jungle expansion
Scyther,Base Set 2,BS2,17/130,Grass,Rare Holo,2000,English,Holofoil (Reprint),Ken Sugimori,,, Reprint of Jungle Scyther with same artwork
Scyther,Neo Discovery,ND,46/75,Grass,Uncommon,2001,English,Standard,,Crossing the Ruins...,46/75,Neo era Scyther uncommon
Scyther,Neo Destiny,ND,55/105,Grass,Uncommon,2001,English,Standard,,Darkness and to Light...,55/105,Neo Destiny era Scyther
Scyther,Wizards Black Star Promos,WB,45,,Grass,Promo,2000,English,Promotional,,45,,Promo card from Wizards era
Rocket's Scyther,Gym Heroes,GH,13/132,Grass,Rare Holo,2000,English,Team Rocket Version,Ken Sugimori,Leaders' Stadium,,Special Rocket's variant with Shadow Images attack
Scyther,Aquapolis,AQ,57/147,Grass,Uncommon,2001,English,Standard,,Wind from the Sea,017/087,Aquapolis uncommon
Scyther,Aquapolis,AQ,106/147,Grass,Common,2001,English,Standard,,Wind from the Sea,016/087,Aquapolis common version
Scyther,EX FireRed & LeafGreen,FR,29/112,Grass,Rare,2004,English,Standard,,Flight of Legends,019/082,EX era Scyther
Scyther,EX Unseen Forces,UF,46/115,Grass,Uncommon,2005,English,Standard,,Golden Sky Silvery Ocean,003/106,EX Unseen Forces uncommon
Scyther,Platinum,PL,130/127,Grass,Rare Secret,2009,English,Secret Rare (Reprint),Ken Sugimori,Galactic's Conquest,094/096,Retro-style reprint with modern wording. Secret rare.
Scyther,Majestic Dawn,MD,46/100,Grass,Uncommon,2008,English,Standard,,Moonlit Pursuit,,Majestic Dawn uncommon
Scyther,Stormfront,SF,49/100,Grass,Uncommon,2008,English,Standard,,Intense Fight in the Destroyed Sky,003/092,Stormfront uncommon
Scyther,Undaunted,UD,36/90,Grass,Uncommon,2010,English,Standard,,Reviving Legends,005/080,Undaunted uncommon
Scyther,Undaunted,UD,65/90,Grass,Common,2010,English,Standard,,Steelix Constructed Standard Deck,001/019,Undaunted common version
Scyther,Dark Explorers,DE,4/108,Grass,Uncommon,2012,English,Standard,,Zekrom-EX Battle Strength Deck,001/018,Dark Explorers uncommon
Scyther,Boundaries Crossed,BC,7/149,Grass,Common,2012,English,Standard,,Cold Flare,003/059,Boundaries Crossed common
Scyther,Celestial Storm,CES,4/168,Grass,Uncommon,2018,English,Standard,,Champion Road,004/066,Modern era Scyther from Celestial Storm
Scyther,Lost Thunder,LT,3/214,Grass,Common,2018,English,Standard,,Super-Burst Impact,001/095,Lost Thunder common
Scyther,Hidden Fates,HF,5/68,Grass,Uncommon,2019,English,Standard,,Sun & Moon Family Pokémon Card Game,004/051,Hidden Fates uncommon
Scyther,Hidden Fates,HF,SV1/SV94,Grass,Rare Shiny,2019,English,Shiny Rare,,GX Ultra Shiny,161/150,Shiny variant of Scyther - secret rare
Scyther,Rebel Clash,RC,004/192,Grass,Common,2020,English,Standard,,Rebellion Crash,001/096,Rebel Clash common
Scyther,Astral Radiance,AR,004/189,Grass,Common,2022,English,Standard,,Lucario VSTAR Starter Set,001/021,Astral Radiance common
Scyther,Astral Radiance,AR,005/189,Grass,Common,2022,English,Standard,,Battle Region,004/067,Astral Radiance alternate common
Scyther,Crown Zenith,CRZ,006/159,Grass,Common,2022,English,Standard,,Incandescent Arcana,001/068,Crown Zenith common
Scyther,Obsidian Flames,OF,004/197,Grass,Common,2023,English,Standard,,Ruler of the Black Flame,004/108,Obsidian Flames common
Scyther,Paldean Fates,PF,095/091,Grass,Shiny Rare,2024,English,Shiny Rare,,Shiny Treasure ex,004/190,Paldean Fates shiny variant
Scyther,Shiny Treasure ex,STE,194/190,Grass,Shiny Rare,2024,English,Shiny Rare (Secret Rare),,Shiny Treasure ex,194/190,Secret rare shiny from Shiny Treasure ex
Scyther,151,151,123/165,Grass,Uncommon,2023,English,Standard,,Pokémon Card 151,123/165,From the 151 set celebrating Gen 1 Pokémon
Scyther,Temporal Forces,TF,001/162,Grass,Common,2024,English,Standard,,Cyber Judge,001/071,Latest Scyther common from Temporal Forces
Scyther ex,EX Ruby & Sapphire,RS,102/109,Grass,Rare Holo ex,2003,English,EX Variant,Ryo Ueda,Treecko Constructed Starter Deck,001/019,First Scyther ex card - combines elements of classic Scyther designs
Rocket's Scyther ex,EX Team Rocket Returns,TR,102/109,Grass,Rare Holo ex,2004,English,Team Rocket EX Version,,Rocket Gang Strikes Back,061/084,Special Team Rocket variant of Scyther ex
Scyther,My First Battle,MFB,,Grass,Common,2023,English,Starter Set,,, Beginner-friendly My First Battle set
Scyther,Start Deck 100 Battle Collection,SD100,015/742,Grass,Common,2023,Japanese,Standard,, , Japanese Start Deck 100 version
