Name,Card ID,Set,Set Code,Card Number,Type,Rarity,Year,Language,Variant,Artist,Japanese Expansion,Japanese Card Number,Notes
Scyther,jungle_10_holo_nl,Jungle,JU,10/64,Grass,Rare Holo,1999,Dutch,Holofoil,Ken Sugimori,Pokémon Jungle,10/64,First English print of Scyther. Has unlimited and limited editions.
Scyther,jungle_10_holo,Jungle,JU,10/64,Grass,Rare Holo,1999,English,Holofoil,Ken Sugimori,Pokémon Jungle,10/64,First English print of Scyther. Has unlimited and limited editions.
Insécateur,jungle_10_holo_fr,Jungle,JU,10/64,Grass,Rare Holo,1999,French,Holofoil,Ken Sugimori,Pokémon Jungle,10/64,First English print of Scyther. Has unlimited and limited editions.
Sichlor,jungle_10_holo_de,Jungle,JU,10/64,Grass,Rare Holo,1999,German,Holofoil,Ken Sugimori,Pokémon Jungle,10/64,First English print of Scyther. Has unlimited and limited editions.
Scyther,jungle_10_holo_it,Jungle,JU,10/64,Grass,Rare Holo,1999,Italian,Holofoil,Ken Sugimori,Pokémon Jungle,10/64,First English print of Scyther. Has unlimited and limited editions.
Scyther,jungle_10_holo_pt,Jungle,JU,10/64,Grass,Rare Holo,1999,Portuguese,Holofoil,Ken Sugimori,Pokémon Jungle,10/64,First English print of Scyther. Has unlimited and limited editions.
Сайтер,jungle_10_holo_ru,Jungle,JU,10/64,Grass,Rare Holo,1999,Russian,Holofoil,Ken Sugimori,Pokémon Jungle,10/64,First English print of Scyther. Has unlimited and limited editions.
Scyther,jungle_10_holo_es,Jungle,JU,10/64,Grass,Rare Holo,1999,Spanish,Holofoil,Ken Sugimori,Pokémon Jungle,10/64,First English print of Scyther. Has unlimited and limited editions.
Scyther,jungle_26_non_holo_nl,Jungle,JU,26/64,Grass,Common,1999,Dutch,Non-Holofoil,Ken Sugimori,Pokémon Jungle,,Non-holo version from Jungle expansion
Scyther,jungle_26_non_holo,Jungle,JU,26/64,Grass,Common,1999,English,Non-Holofoil,Ken Sugimori,Pokémon Jungle,,Non-holo version from Jungle expansion
Insécateur,jungle_26_non_holo_fr,Jungle,JU,26/64,Grass,Common,1999,French,Non-Holofoil,Ken Sugimori,Pokémon Jungle,,Non-holo version from Jungle expansion
Sichlor,jungle_26_non_holo_de,Jungle,JU,26/64,Grass,Common,1999,German,Non-Holofoil,Ken Sugimori,Pokémon Jungle,,Non-holo version from Jungle expansion
Scyther,jungle_26_non_holo_it,Jungle,JU,26/64,Grass,Common,1999,Italian,Non-Holofoil,Ken Sugimori,Pokémon Jungle,,Non-holo version from Jungle expansion
Scyther,jungle_26_non_holo_pt,Jungle,JU,26/64,Grass,Common,1999,Portuguese,Non-Holofoil,Ken Sugimori,Pokémon Jungle,,Non-holo version from Jungle expansion
Сайтер,jungle_26_non_holo_ru,Jungle,JU,26/64,Grass,Common,1999,Russian,Non-Holofoil,Ken Sugimori,Pokémon Jungle,,Non-holo version from Jungle expansion
